[2025-04-07 18:26:40,599] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:26:40,606] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:26:40,606] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:26:42,624] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:26:42,624] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:26:42,624] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:26:42,625] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:26:42,625] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:26:42,625] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:26:42,631] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:26:42,631] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:26:42,631] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:28:51,693] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:28:51,693] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:28:51,693] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:30:29,716] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:30:29,716] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:30:29,716] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:30:56,337] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:30:56,337] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:30:56,337] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:30:56,337] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:30:56,339] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:30:56,339] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:30:56,339] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:30:56,339] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:30:56,344] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:30:56,344] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:30:56,344] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:30:56,344] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:33:05,396] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:33:05,396] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:33:05,396] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:33:05,396] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:54:28,474] - [REST][INFO][gRPC REST] - Server started
[2025-04-07 18:54:37,876] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:54:37,876] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:54:37,878] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:54:37,878] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:54:37,883] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:54:37,883] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:56:46,959] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:56:46,959] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:57:10,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:57:10,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:57:10,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:57:10,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:57:10,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:57:10,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:57:10,956] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:57:10,956] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:57:10,956] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:17:32,777] - [REST][INFO][gRPC REST] - Server started
[2025-04-07 19:17:39,489] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:17:39,489] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:17:39,492] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:17:39,492] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:17:39,496] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:17:39,496] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:19:48,561] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 19:19:48,561] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 19:24:45,828] - [REST][INFO][gRPC REST] - Server started
[2025-04-07 19:24:51,593] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:24:51,593] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:24:51,594] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:24:51,594] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:24:51,600] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:24:51,600] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:27:00,662] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 19:27:00,662] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 19:27:16,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:27:16,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:27:16,951] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 19:27:16,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:27:16,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:27:16,952] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 19:27:16,957] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:27:16,957] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 19:27:16,957] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:24:00,604] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 12:24:30,172] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:24:30,172] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:24:30,174] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:24:30,174] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:24:30,180] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:24:30,180] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:24:38,300] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:24:38,300] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:24:38,300] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:24:38,301] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:24:38,301] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:24:38,301] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:24:38,306] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:24:38,306] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:24:38,306] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:26:47,376] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:26:47,376] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:26:47,376] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:28:19,347] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:28:19,347] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:28:19,347] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:29:02,266] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:02,266] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:02,266] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:02,266] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:02,269] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:02,269] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:02,269] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:02,269] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:02,277] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:02,277] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:02,277] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:02,277] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:05,952] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:05,952] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:05,952] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:05,952] - [REST][INFO][REST Server] - Received Mission
