[2025-07-29 10:28:30,546][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:28:30,546][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:28:30,546][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:28:30,546][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:28:30,546][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:28:30,562][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:28:30,562][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:28:30,562][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:28:30,562][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:28:30,562][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:28:30,640][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:28:30,640][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:28:30,640][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:28:30,640][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:28:30,640][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,085][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,089][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,099][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:30:22,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
