[2026-03-12 12:34:40,695][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:41,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:34:50,732][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:51,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:00,768][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:01,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:10,805][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:11,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:20,842][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:21,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:30,879][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:31,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:40,915][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:41,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:35:50,951][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:35:51,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:35:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:00,988][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:36:01,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:11,024][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
